Node, Score
6, 0.05653588305812144
22, 0.05355017236915195
28, 0.042785998388939296
9, 0.039195938736894934
23, 0.034545043297520235
30, 0.03380673241182528
37, 0.03141150620649426
21, 0.031327421035359536
13, 0.029750640581967913
15, 0.02751357681938435
34, 0.026859048348367894
19, 0.026112657707828075
31, 0.026023647348528575
11, 0.02577266489121915
39, 0.02568087034268642
18, 0.024903628523049046
44, 0.024833001179733825
42, 0.02390811565564574
41, 0.02284776855576712
7, 0.02260031594796132
46, 0.022207551419937275
16, 0.021876418706946683
47, 0.020823159527223994
48, 0.02014196308526754
32, 0.01929717664680116
43, 0.018945192868140948
5, 0.018759050433106998
14, 0.018315620764921218
40, 0.018008650049255524
49, 0.017900472588507434
8, 0.017433392720600675
1, 0.017003708350490022
35, 0.016660675659448395
38, 0.013981349632623721
24, 0.012999817148457209
33, 0.011736444600564878
2, 0.010610063698704236
27, 0.009535584851398927
12, 0.008706889540825803
45, 0.007817717365972173
4, 0.007351708490299537
17, 0.006812694569132626
26, 0.006798846381346216
25, 0.006006184714632866
20, 0.004930263461254244
36, 0.004736562347551336
3, 0.0040483438867960145
0, 0.0036375
29, 0.0036375
10, 0.003
