Node, Score
367, 0.0024605812019845397
249, 0.0022543836055029993
145, 0.002122408602122001
264, 0.0020630668905145646
266, 0.002021433462129262
123, 0.0019196417009435221
127, 0.0019191146414181764
122, 0.0019084405816164433
1317, 0.001899537426008102
5, 0.0018915821537451433
251, 0.00183682790119564
427, 0.001821412490265186
149, 0.0017074772622701184
176, 0.0016756201697279232
353, 0.0016471224513112885
390, 0.00163759486190081
559, 0.0016188568855772813
124, 0.0016187673677846416
4, 0.0015987251701091087
7, 0.0015510100366701418
177, 0.0015329287772522886
146, 0.0015195593067414005
424, 0.0014780070364177936
368, 0.0014740974634846608
3, 0.0014657099590201638
422, 0.0014357174391500967
147, 0.001425643679661939
143, 0.0013903928325163682
248, 0.0013895301097449516
369, 0.0013839127664136393
125, 0.0013582323265644892
128, 0.0013548906756142838
144, 0.0013537416980103731
754, 0.0013262322533821222
8, 0.0012997876138779762
247, 0.0012987477493699314
126, 0.0012804109039585931
179, 0.001275468998983548
175, 0.0012720351439103066
121, 0.0012468404109764269
9, 0.0012405288028881543
2018, 0.0012388981071006775
174, 0.0012222109270144102
352, 0.0012175459694294703
250, 0.0012088160046192695
667, 0.0011833417318093194
856, 0.0011639206535176436
252, 0.0011572465155304714
1245, 0.0011355022961962924
148, 0.0011060000279187856
246, 0.0011030917367932111
666, 0.0010914962652406766
762, 0.0010210663877021197
129, 0.0009853369058936807
2001, 0.0009755822652186503
423, 0.0009706427359193547
265, 0.0009575495886190916
717, 0.0009375357556385951
697, 0.0008011711407806642
180, 0.0007684735526857483
238, 0.0007581426026939562
1956, 0.0006659262605365285
426, 0.0006658291916023783
753, 0.0006642029406895161
1246, 0.0006545975629333007
946, 0.000646347251128064
17, 0.0006371599949951612
586, 0.0006262730911810345
2414, 0.0006165659632034591
718, 0.0005618534862960294
947, 0.0005570017859731318
31, 0.0005411663953988255
351, 0.0005303563055361503
2098, 0.0005211496763415718
152, 0.0005146999868847553
698, 0.0004958818477942649
1903, 0.0004910517933598567
1056, 0.0004905681675134571
1022, 0.0004895586846861974
1787, 0.000488092086874792
2377, 0.0004866230090347579
558, 0.00048643602438491485
1511, 0.00048421826447436517
